logement,surface_m2,chauffage,ampoules,lave_linge,lave_vaisselle,four,climatisation,nb_personnes,transport_mode,transport_km_semaine,estimation_kgCO2_an
maison,91,gaz,10,0,1,0,1,1,voiture,91,3112.84
appartement,67,pompe à chaleur,15,1,1,1,1,4,velo,118,291.93
maison,123,gaz,22,1,1,1,0,4,marche,0,842.5
appartement,117,electrique,11,1,0,1,1,1,marche,0,2655.0
maison,146,electrique,14,0,0,1,1,6,marche,0,540.0
appartement,70,electrique,11,1,1,0,0,6,voiture,147,1176.4466666666667
maison,124,gaz,6,0,0,0,0,5,voiture,70,1068.8
appartement,146,gaz,9,1,0,0,0,4,velo,23,947.23
maison,88,pompe à chaleur,11,1,0,1,1,3,voiture,174,1484.0933333333332
appartement,49,pompe à chaleur,20,0,1,1,1,4,marche,0,222.5
maison,141,pompe à chaleur,23,1,0,0,0,3,voiture,137,1409.88
appartement,107,gaz,19,1,1,0,1,1,marche,0,3060.0
maison,36,pompe à chaleur,11,1,0,0,0,1,marche,0,495.0
appartement,58,pompe à chaleur,9,1,0,1,1,3,voiture,14,379.0266666666667
maison,114,pompe à chaleur,22,1,0,1,0,3,marche,0,471.6666666666667
maison,130,pompe à chaleur,25,1,0,0,1,5,voiture,157,1324.6799999999998
maison,147,electrique,19,1,0,1,0,6,velo,193,581.0133333333333
maison,94,pompe à chaleur,17,0,0,1,1,1,voiture,10,1352.4
appartement,118,gaz,20,0,1,1,1,2,velo,161,1716.86
maison,57,gaz,25,0,0,0,1,4,marche,0,456.25
maison,140,pompe à chaleur,16,0,1,0,0,6,marche,0,263.3333333333333
appartement,119,gaz,22,0,0,1,0,2,marche,0,1612.5
appartement,42,pompe à chaleur,20,0,0,0,1,1,voiture,161,1774.6399999999999
maison,122,pompe à chaleur,22,0,1,1,0,2,voiture,170,1805.8
appartement,69,pompe à chaleur,19,1,0,1,0,5,voiture,65,592.6
appartement,72,gaz,23,0,0,0,1,5,voiture,138,1297.12
maison,122,electrique,17,1,0,0,0,3,marche,0,878.3333333333334
maison,131,gaz,6,0,0,0,0,6,voiture,144,1454.3933333333334
appartement,62,electrique,9,1,0,1,1,1,marche,0,1535.0
maison,66,electrique,11,0,0,1,0,3,voiture,151,1428.9066666666668
maison,103,electrique,21,0,0,1,1,1,voiture,31,2643.44
appartement,63,gaz,19,1,1,0,1,6,voiture,85,857.0666666666666
appartement,40,pompe à chaleur,10,0,0,0,1,6,voiture,29,289.29333333333335
maison,119,gaz,7,0,1,1,0,2,velo,66,1564.66
maison,68,pompe à chaleur,9,0,0,1,1,2,velo,55,489.3
appartement,115,gaz,16,0,0,1,0,2,voiture,61,1913.1399999999999
appartement,68,electrique,14,0,0,0,1,2,marche,0,825.0
maison,44,pompe à chaleur,11,1,1,0,1,2,velo,50,385.5
maison,141,electrique,19,1,1,1,0,1,velo,184,3132.84
maison,81,gaz,15,0,0,1,1,2,marche,0,1177.5
maison,50,gaz,11,0,1,0,0,6,marche,0,230.0
maison,90,gaz,19,1,1,1,1,1,velo,178,2711.28
maison,136,pompe à chaleur,22,1,0,1,0,5,voiture,107,994.68
maison,78,electrique,20,1,1,1,1,3,velo,78,681.9466666666666
appartement,110,gaz,5,1,0,1,1,6,velo,82,522.1533333333333
maison,40,gaz,24,0,0,1,1,4,voiture,164,1378.3600000000001
maison,39,pompe à chaleur,18,1,1,1,1,2,voiture,195,1614.3
appartement,107,pompe à chaleur,24,0,1,0,0,2,voiture,58,1026.92
appartement,148,gaz,20,0,0,1,1,5,voiture,166,1851.84
appartement,137,electrique,7,0,0,0,0,1,marche,0,2810.0
maison,60,gaz,9,1,0,1,1,5,marche,0,359.0
appartement,49,electrique,8,0,0,1,0,4,voiture,145,1177.3
appartement,38,electrique,13,0,1,1,0,5,voiture,134,1024.1599999999999
appartement,124,pompe à chaleur,25,1,1,1,0,3,marche,0,521.6666666666666
maison,47,gaz,16,1,1,0,1,2,voiture,137,1619.88
appartement,40,gaz,25,0,1,1,0,1,marche,0,1300.0
maison,45,pompe à chaleur,18,1,1,0,1,3,voiture,140,1148.6
maison,136,gaz,10,1,0,0,1,4,voiture,196,2141.79
maison,52,gaz,16,1,1,0,0,5,voiture,173,1380.52
maison,35,pompe à chaleur,25,1,1,1,1,5,velo,31,173.06
appartement,35,pompe à chaleur,5,0,1,0,0,6,velo,26,76.76
maison,135,gaz,19,0,1,1,0,4,velo,190,953.15
appartement,127,pompe à chaleur,18,0,0,0,0,6,voiture,185,1396.0666666666668
maison,75,electrique,21,1,0,0,0,2,marche,0,867.5
appartement,31,gaz,19,1,1,1,0,5,voiture,117,938.08
appartement,56,gaz,17,0,1,0,1,4,marche,0,435.0
appartement,80,pompe à chaleur,24,0,0,1,0,2,velo,44,546.44
maison,77,gaz,12,1,0,1,0,3,marche,0,700.0
appartement,105,pompe à chaleur,15,0,1,0,0,6,velo,28,210.61333333333334
maison,142,gaz,13,0,0,0,1,6,marche,0,638.3333333333334
maison,78,gaz,5,1,1,0,1,5,velo,49,451.74
appartement,107,electrique,5,1,1,0,0,6,voiture,165,1402.1
appartement,100,electrique,8,1,1,0,0,6,velo,194,404.6066666666667
appartement,55,pompe à chaleur,13,1,1,1,1,3,velo,27,308.68666666666667
appartement,150,electrique,19,1,0,1,1,1,velo,20,3400.2
maison,50,gaz,20,1,0,1,1,5,marche,0,331.0
maison,64,electrique,22,0,0,1,1,3,voiture,171,1627.04
appartement,144,gaz,9,1,0,1,1,2,voiture,166,2983.34
maison,130,electrique,18,1,0,0,1,2,marche,0,1477.5
maison,120,gaz,21,0,0,0,0,1,marche,0,3210.0
appartement,59,electrique,24,0,0,1,1,6,marche,0,266.6666666666667
appartement,61,electrique,5,1,0,0,0,3,velo,77,451.68666666666667
maison,88,pompe à chaleur,10,1,1,1,1,1,marche,0,1205.0
maison,138,pompe à chaleur,20,0,0,0,1,2,velo,67,882.42
appartement,94,pompe à chaleur,13,1,0,1,1,1,marche,0,1275.0
appartement,80,gaz,9,1,0,1,1,2,voiture,122,1908.78
appartement,56,pompe à chaleur,16,1,0,0,0,4,voiture,59,554.4100000000001
appartement,68,gaz,18,1,0,0,1,2,velo,33,1036.08
maison,112,electrique,21,1,0,1,0,5,marche,0,501.0
maison,138,gaz,13,0,1,1,0,2,velo,165,1857.9
appartement,111,gaz,12,1,0,1,1,2,voiture,109,2230.16
maison,133,pompe à chaleur,24,0,0,0,0,5,marche,0,314.0
appartement,146,gaz,5,1,1,1,0,4,velo,73,962.73
maison,64,gaz,18,1,1,0,1,4,voiture,108,1167.67
appartement,134,pompe à chaleur,12,1,1,0,0,5,marche,0,301.0
appartement,62,electrique,25,0,1,0,1,1,marche,0,1660.0
maison,119,pompe à chaleur,24,1,1,0,1,1,marche,0,1625.0
appartement,82,gaz,12,0,1,1,1,3,velo,157,830.82
appartement,130,gaz,10,0,1,0,0,4,marche,0,842.5
appartement,100,gaz,23,1,1,0,1,3,marche,0,975.0
appartement,44,pompe à chaleur,5,1,1,0,1,3,marche,0,228.33333333333334
appartement,125,electrique,5,1,1,1,0,6,velo,36,446.86
maison,62,electrique,17,1,0,1,0,1,velo,110,1493.6
maison,131,electrique,22,1,0,1,0,5,velo,111,607.86
appartement,31,electrique,8,1,1,1,0,4,marche,0,193.75
maison,36,electrique,24,0,1,0,0,2,voiture,125,1270.0
maison,101,electrique,13,1,1,0,1,5,voiture,135,1311.4
appartement,100,pompe à chaleur,7,1,1,0,0,3,velo,96,396.62666666666667
maison,111,pompe à chaleur,9,0,0,1,0,3,voiture,119,1152.56
appartement,55,pompe à chaleur,23,1,1,1,1,6,voiture,196,1390.54
appartement,145,pompe à chaleur,6,1,1,0,0,5,voiture,90,872.6
appartement,85,pompe à chaleur,23,1,0,0,1,3,voiture,132,1242.0133333333333
maison,146,electrique,9,0,0,0,0,2,marche,0,1505.0
appartement,133,electrique,12,0,1,1,1,4,marche,0,745.0
maison,143,gaz,13,1,0,0,1,5,velo,174,821.24
appartement,79,electrique,6,0,1,0,1,5,marche,0,362.0
maison,106,gaz,15,0,1,1,1,3,voiture,96,1599.04
appartement,90,gaz,7,1,1,1,1,6,voiture,144,1322.7266666666667
appartement,42,gaz,9,1,1,1,1,3,voiture,17,561.08
maison,64,pompe à chaleur,5,0,0,1,1,6,velo,95,169.7
appartement,42,gaz,17,0,1,1,1,1,voiture,185,2574.4
maison,51,electrique,25,0,1,1,1,6,velo,169,288.94
maison,96,pompe à chaleur,12,1,0,1,1,4,voiture,78,807.97
appartement,150,gaz,24,1,1,1,0,4,marche,0,1016.25
appartement,36,gaz,22,1,0,0,0,4,velo,180,333.05
appartement,134,gaz,13,0,1,1,0,4,velo,48,894.98
maison,39,gaz,9,0,1,0,0,3,voiture,169,1416.2266666666667
maison,118,electrique,6,1,0,0,1,3,velo,40,875.4
appartement,87,pompe à chaleur,5,1,1,0,1,4,velo,103,305.53
appartement,67,electrique,6,0,1,1,0,5,voiture,135,1132.4
maison,79,gaz,12,1,0,0,0,4,marche,0,530.0
maison,110,electrique,8,1,0,1,1,3,voiture,141,1708.1733333333334
appartement,66,electrique,25,1,0,1,0,4,marche,0,406.25
maison,63,pompe à chaleur,24,1,1,1,1,5,marche,0,219.0
appartement,57,electrique,8,0,1,0,0,1,marche,0,1240.0
appartement,139,pompe à chaleur,11,1,0,0,1,5,velo,98,360.48
maison,99,pompe à chaleur,23,1,1,1,1,4,marche,0,361.25
appartement,59,pompe à chaleur,5,1,0,1,0,1,velo,40,705.4
appartement,90,electrique,17,1,0,1,1,5,velo,149,473.74
maison,63,gaz,22,1,1,0,0,2,voiture,30,1107.2
appartement,131,pompe à chaleur,16,0,1,1,1,2,velo,27,842.02
appartement,49,gaz,25,1,0,1,0,5,marche,0,306.0
appartement,107,gaz,18,1,1,1,1,4,voiture,114,1481.3600000000001
maison,36,gaz,21,1,0,1,1,5,marche,0,263.0
maison,33,gaz,24,0,0,1,0,1,voiture,180,2218.2
appartement,106,gaz,25,1,1,0,0,6,marche,0,490.8333333333333
maison,114,electrique,25,1,1,0,0,3,marche,0,858.3333333333334
maison,114,gaz,16,1,1,1,1,6,velo,61,555.0266666666666
appartement,124,pompe à chaleur,20,0,1,0,1,5,marche,0,322.0
maison,68,gaz,12,0,0,0,1,1,marche,0,1970.0
appartement,116,gaz,5,0,0,0,1,2,velo,165,1592.9
appartement,59,pompe à chaleur,25,1,0,0,1,3,marche,0,338.3333333333333
maison,138,electrique,6,0,1,0,1,4,marche,0,747.5
appartement,34,gaz,7,0,0,1,1,5,marche,0,220.0
maison,136,gaz,23,0,1,1,0,2,marche,0,1840.0
maison,134,pompe à chaleur,9,0,0,1,1,3,voiture,37,767.5466666666666
appartement,121,pompe à chaleur,6,0,0,1,1,5,marche,0,290.0
appartement,95,gaz,20,1,1,1,0,6,velo,161,483.5266666666667
appartement,97,pompe à chaleur,14,1,1,0,1,4,marche,0,326.25
maison,115,gaz,9,1,1,0,0,2,velo,42,1515.92
appartement,110,electrique,16,1,1,0,0,3,marche,0,801.6666666666666
appartement,105,gaz,12,1,1,0,0,6,velo,136,500.36
appartement,57,gaz,22,0,1,1,1,1,voiture,136,2693.64
appartement,141,gaz,19,1,1,1,0,5,velo,61,773.86
appartement,102,pompe à chaleur,22,0,1,0,0,2,velo,65,646.9
maison,150,electrique,18,0,0,0,1,3,voiture,123,1877.52
maison,129,pompe à chaleur,8,1,0,1,1,6,velo,50,275.5
appartement,143,electrique,18,0,1,0,0,1,marche,0,3060.0
maison,43,electrique,21,1,0,0,0,6,voiture,17,288.58
appartement,137,electrique,25,1,1,1,1,6,velo,110,564.4333333333334
maison,118,gaz,22,1,1,0,0,3,marche,0,1071.6666666666667
appartement,112,gaz,18,0,0,1,1,2,voiture,51,1898.24
appartement,59,gaz,10,0,1,1,0,4,velo,118,436.93
appartement,144,gaz,16,1,0,1,1,4,velo,23,997.23
maison,108,gaz,22,0,1,0,0,3,velo,162,1022.12
maison,121,gaz,11,1,0,1,1,5,marche,0,668.0
appartement,45,electrique,23,1,1,1,0,4,voiture,175,1393.25
maison,51,gaz,25,0,0,1,1,5,voiture,93,921.32
appartement,148,gaz,20,0,1,0,0,3,marche,0,1306.6666666666667
maison,51,pompe à chaleur,21,0,0,0,0,3,voiture,111,932.64
appartement,74,electrique,23,1,1,0,0,2,marche,0,877.5
appartement,48,gaz,13,0,0,1,0,2,marche,0,680.0
maison,106,pompe à chaleur,22,1,0,0,1,5,marche,0,291.0
maison,45,gaz,9,1,1,0,0,6,voiture,127,1002.48
maison,97,pompe à chaleur,12,1,0,0,1,4,velo,86,338.61
appartement,65,gaz,23,0,1,1,1,5,velo,200,463.0
appartement,101,electrique,9,0,1,0,1,6,velo,92,403.92
appartement,96,gaz,5,1,1,0,1,2,velo,117,1352.92
maison,138,pompe à chaleur,20,1,1,1,1,5,velo,198,412.48
appartement,83,electrique,12,1,0,1,1,6,velo,195,381.5333333333333
appartement,134,electrique,22,0,0,1,1,3,velo,22,1032.3866666666668
appartement,51,electrique,21,1,0,1,0,5,velo,180,303.8
appartement,79,pompe à chaleur,8,1,1,1,0,6,marche,0,157.5
appartement,50,pompe à chaleur,12,1,1,1,0,4,velo,184,221.59
maison,84,electrique,23,1,1,0,1,2,voiture,160,2050.9
appartement,104,gaz,18,0,1,0,0,2,velo,30,1407.8
maison,140,gaz,24,1,0,0,0,6,voiture,187,1794.38
maison,40,gaz,23,0,1,1,0,4,voiture,92,894.08
maison,74,pompe à chaleur,25,0,1,1,1,3,marche,0,396.6666666666667
appartement,65,electrique,25,1,1,0,0,5,velo,144,356.44
maison,122,pompe à chaleur,17,0,0,0,0,2,velo,126,727.76
appartement,44,pompe à chaleur,25,0,0,0,0,4,marche,0,172.5
appartement,98,electrique,19,1,0,0,1,3,marche,0,775.0
appartement,119,pompe à chaleur,17,1,1,1,0,6,voiture,66,651.0066666666667
maison,146,pompe à chaleur,20,0,1,0,0,1,marche,0,1680.0
maison,55,gaz,19,1,1,0,1,4,velo,49,452.74
maison,116,electrique,25,0,1,1,1,2,marche,0,1385.0
appartement,88,pompe à chaleur,13,1,1,0,1,3,marche,0,401.6666666666667
maison,39,electrique,7,0,0,1,1,4,voiture,164,1280.8600000000001
appartement,136,gaz,10,0,0,1,1,1,voiture,17,3786.08
maison,57,electrique,13,0,1,1,1,2,velo,199,786.74
appartement,49,pompe à chaleur,14,0,1,0,0,6,voiture,102,744.8133333333334
appartement,72,gaz,5,0,0,1,1,5,marche,0,406.0
maison,65,electrique,15,0,1,1,1,2,marche,0,825.0
appartement,38,pompe à chaleur,6,0,1,0,1,1,velo,93,634.18
maison,120,electrique,21,1,0,1,0,6,marche,0,444.1666666666667
maison,150,gaz,9,1,0,1,0,5,velo,78,799.28
maison,51,pompe à chaleur,19,1,0,1,0,1,voiture,47,1048.28
maison,137,electrique,8,0,0,0,0,4,marche,0,705.0
appartement,146,pompe à chaleur,25,0,1,1,0,1,voiture,148,2683.52
maison,111,electrique,20,0,0,1,0,6,velo,125,440.8333333333333
appartement,122,electrique,24,0,1,1,1,5,marche,0,576.0
appartement,80,pompe à chaleur,15,0,1,1,0,3,velo,100,359.3333333333333
maison,65,gaz,14,1,1,0,0,2,voiture,93,1485.3200000000002
maison,40,electrique,25,0,0,0,0,6,velo,120,206.2
maison,38,electrique,11,1,0,1,0,2,voiture,26,624.74
appartement,54,gaz,15,0,1,1,1,5,voiture,118,1076.3200000000002
maison,70,electrique,20,1,0,1,1,5,marche,0,361.0
maison,47,gaz,13,1,0,1,0,5,velo,179,318.54
appartement,54,gaz,13,0,0,0,0,5,velo,104,323.04
maison,92,gaz,9,0,0,0,1,4,voiture,118,1371.3200000000002
maison,99,pompe à chaleur,10,0,0,0,0,5,velo,85,240.1
maison,86,pompe à chaleur,21,0,0,1,0,4,marche,0,275.0
appartement,135,gaz,16,1,1,1,1,4,marche,0,940.0
appartement,77,gaz,16,0,0,1,1,2,marche,0,1132.5
appartement,64,gaz,10,0,1,1,0,2,marche,0,875.0
maison,97,pompe à chaleur,25,1,1,1,0,4,marche,0,323.75
appartement,56,gaz,12,0,0,0,0,6,velo,34,262.17333333333335
appartement,138,electrique,16,1,1,0,1,6,marche,0,519.1666666666666
appartement,96,electrique,18,0,0,0,0,5,voiture,24,569.76
maison,118,gaz,8,0,0,1,0,2,marche,0,1530.0
appartement,56,pompe à chaleur,9,1,1,1,0,5,voiture,77,625.48
maison,75,pompe à chaleur,9,1,0,0,0,3,voiture,127,1080.8133333333333
maison,108,gaz,12,1,0,0,1,5,velo,27,606.02
appartement,98,pompe à chaleur,16,0,1,1,0,6,voiture,188,1371.4533333333331
appartement,141,pompe à chaleur,15,0,1,0,0,1,marche,0,1580.0
maison,120,gaz,23,0,1,1,1,5,voiture,179,1802.96
maison,31,electrique,25,0,0,0,0,6,marche,0,145.0
maison,58,pompe à chaleur,6,1,1,1,1,3,velo,189,337.4733333333333
appartement,92,electrique,6,0,1,0,0,6,marche,0,320.0
appartement,47,electrique,6,1,1,1,1,5,voiture,44,519.56
maison,133,pompe à chaleur,24,0,0,1,0,4,marche,0,400.0
maison,30,gaz,8,1,0,1,1,6,velo,178,218.78
maison,113,gaz,19,0,0,1,1,1,marche,0,3195.0
maison,124,pompe à chaleur,6,0,0,1,0,4,voiture,80,831.7
appartement,122,electrique,13,0,0,1,1,3,voiture,14,1004.0266666666666
maison,92,gaz,17,0,1,1,0,1,voiture,88,3069.12
maison,74,electrique,23,1,1,1,0,5,velo,21,362.46
appartement,124,electrique,17,1,1,0,1,1,voiture,11,2913.64
maison,53,gaz,9,1,1,0,0,3,marche,0,486.6666666666667
appartement,70,electrique,12,0,1,0,1,5,velo,70,356.2
appartement,146,pompe à chaleur,22,1,1,0,1,5,voiture,46,662.04
maison,121,electrique,25,1,0,0,0,6,velo,47,461.3866666666667
maison,147,gaz,16,1,1,1,0,3,velo,140,1339.7333333333333
appartement,69,electrique,16,1,0,0,0,3,marche,0,521.6666666666666
appartement,46,gaz,24,1,1,0,1,3,voiture,178,1639.0533333333333
appartement,137,electrique,22,1,0,0,0,6,voiture,174,1583.26
appartement,125,gaz,11,1,0,0,1,5,velo,102,708.52
appartement,137,pompe à chaleur,14,1,0,1,1,3,marche,0,571.6666666666666
maison,71,gaz,18,0,1,1,1,4,velo,192,588.67
maison,87,electrique,25,0,0,1,1,2,voiture,168,2133.3199999999997
maison,40,gaz,6,0,0,0,0,2,velo,134,564.84
appartement,89,electrique,10,1,0,0,1,5,velo,142,447.92
appartement,101,pompe à chaleur,24,0,0,1,0,6,voiture,101,843.5733333333334
appartement,91,pompe à chaleur,19,0,1,0,1,4,marche,0,317.5
maison,58,electrique,8,0,0,1,0,3,voiture,100,1047.3333333333333
maison,124,electrique,8,0,0,1,0,4,marche,0,647.5
maison,133,electrique,22,1,0,0,1,2,voiture,200,2775.5
maison,148,gaz,13,0,0,1,1,6,voiture,20,793.1333333333333
maison,38,gaz,22,1,0,0,0,1,marche,0,1195.0
appartement,51,pompe à chaleur,5,0,0,1,1,1,velo,120,771.2
maison,30,gaz,5,0,0,0,0,6,marche,0,133.33333333333334
appartement,45,electrique,12,0,0,1,0,2,voiture,36,749.64
appartement,31,gaz,25,1,1,1,0,4,voiture,149,1204.76
maison,39,pompe à chaleur,24,1,1,0,1,1,velo,34,833.84
maison,67,electrique,25,0,1,1,0,5,voiture,24,477.76
maison,132,pompe à chaleur,18,1,0,0,0,2,velo,29,770.04
maison,143,pompe à chaleur,11,0,1,1,1,5,marche,0,348.0
maison,120,electrique,9,1,1,0,0,3,marche,0,845.0
appartement,60,electrique,5,1,1,0,0,5,voiture,154,1219.96
maison,87,gaz,24,0,1,1,1,2,marche,0,1307.5
maison,50,electrique,8,0,1,0,0,2,marche,0,550.0
maison,134,electrique,20,0,0,0,1,2,velo,49,1527.74
appartement,33,electrique,17,1,0,0,0,3,voiture,30,472.2
maison,52,gaz,12,1,0,0,1,3,marche,0,531.6666666666666
maison,130,electrique,16,0,0,0,0,2,voiture,80,1879.2
appartement,126,gaz,10,0,0,0,0,5,voiture,166,1685.84
appartement,57,pompe à chaleur,22,0,0,0,0,1,voiture,23,933.52
appartement,104,gaz,7,0,1,0,0,6,velo,143,485.5133333333333
maison,108,pompe à chaleur,8,0,0,0,0,4,velo,98,315.48
appartement,38,gaz,15,0,0,1,0,3,voiture,69,807.2266666666667
appartement,34,gaz,5,1,0,0,1,3,velo,153,398.11333333333334
appartement,136,pompe à chaleur,11,1,1,0,0,1,velo,179,1561.54
maison,134,electrique,20,1,0,0,0,3,marche,0,968.3333333333334
maison,37,pompe à chaleur,6,1,1,0,0,3,velo,189,207.47333333333336
appartement,112,electrique,23,0,1,1,1,4,marche,0,667.5
appartement,115,gaz,18,0,0,1,0,3,voiture,93,1608.6533333333332
maison,98,electrique,11,1,1,0,0,5,voiture,87,965.88
maison,142,electrique,7,1,0,0,1,2,marche,0,1542.5
appartement,77,gaz,10,1,1,1,0,3,velo,150,739.0
appartement,40,electrique,13,0,0,1,1,1,velo,168,1153.68
appartement,56,gaz,10,1,0,0,0,2,marche,0,762.5
appartement,125,electrique,13,0,0,0,0,5,marche,0,526.0
maison,130,electrique,20,0,1,1,0,6,marche,0,475.0
appartement,125,gaz,8,1,1,0,1,1,marche,0,3400.0
maison,126,gaz,21,1,0,0,1,3,velo,71,1196.7933333333333
maison,112,gaz,24,1,0,0,0,5,marche,0,613.0
appartement,67,gaz,7,0,0,1,0,3,velo,35,600.7666666666667
maison,146,electrique,22,0,1,0,1,1,voiture,121,4065.04
maison,144,pompe à chaleur,10,1,1,0,0,5,voiture,72,766.28
maison,140,pompe à chaleur,11,1,0,1,1,5,marche,0,343.0
maison,78,electrique,15,1,0,0,0,5,marche,0,347.0
appartement,88,gaz,5,1,0,0,1,2,velo,140,1248.9
maison,48,electrique,12,0,0,1,0,4,marche,0,277.5
appartement,95,gaz,12,1,1,1,1,1,velo,12,2723.12
appartement,117,gaz,18,0,1,0,0,5,marche,0,625.0
maison,56,gaz,25,0,0,0,0,1,velo,36,1659.36
maison,125,electrique,15,1,1,1,1,3,velo,130,992.1333333333333
maison,141,electrique,16,1,1,0,0,6,marche,0,504.1666666666667
appartement,54,electrique,14,1,1,1,1,2,marche,0,722.5
appartement,39,gaz,6,0,1,0,0,2,marche,0,527.5
maison,131,electrique,6,0,0,0,1,1,marche,0,2830.0
maison,145,gaz,14,0,0,0,0,3,velo,136,1290.36
maison,103,electrique,10,1,0,1,0,1,velo,53,2228.78
maison,88,pompe à chaleur,25,1,0,1,0,6,marche,0,197.5
maison,144,pompe à chaleur,11,1,1,0,0,2,marche,0,797.5
maison,112,pompe à chaleur,12,1,0,0,0,6,voiture,170,1271.6333333333332
maison,144,electrique,10,0,0,1,1,3,velo,153,1093.1133333333332
maison,94,electrique,18,0,0,1,1,6,voiture,57,729.0133333333333
maison,115,gaz,20,0,0,1,0,3,voiture,42,1297.08
maison,72,gaz,5,0,1,0,1,3,marche,0,673.3333333333334
maison,64,gaz,23,0,1,1,1,6,marche,0,338.3333333333333
maison,60,gaz,10,1,0,0,1,6,marche,0,295.8333333333333
appartement,33,gaz,15,0,1,1,1,6,marche,0,195.83333333333334
maison,101,gaz,12,1,0,1,0,4,marche,0,675.0
appartement,146,electrique,7,0,1,1,0,5,velo,83,629.58
appartement,87,pompe à chaleur,19,1,1,0,0,2,velo,127,585.52
appartement,112,gaz,21,0,0,0,0,6,velo,164,544.3066666666667
maison,78,electrique,13,1,1,0,0,3,velo,47,590.5533333333334
appartement,31,electrique,21,0,0,0,0,2,marche,0,415.0
maison,127,gaz,16,0,1,1,1,3,marche,0,1178.3333333333333
maison,121,gaz,23,1,1,1,0,1,marche,0,3330.0
maison,84,electrique,19,1,1,0,0,3,marche,0,638.3333333333334
appartement,79,pompe à chaleur,21,1,1,0,0,5,marche,0,209.0
maison,101,gaz,8,1,1,0,0,1,voiture,110,3336.4
appartement,36,pompe à chaleur,22,0,1,0,1,5,marche,0,150.0
appartement,82,electrique,8,0,0,0,1,4,velo,136,502.86
appartement,119,electrique,6,0,0,1,0,2,marche,0,1235.0
appartement,119,gaz,24,0,1,1,0,5,marche,0,653.0
appartement,59,electrique,16,1,0,1,1,5,voiture,181,1438.44
maison,107,electrique,9,0,0,1,1,1,marche,0,2410.0
appartement,109,gaz,14,0,1,0,0,5,velo,157,617.82
maison,84,electrique,6,0,0,1,0,5,velo,92,377.92
maison,67,gaz,15,0,0,1,1,2,marche,0,1002.5
maison,30,gaz,6,1,0,0,0,5,voiture,170,1227.8
maison,139,gaz,16,1,0,1,1,2,velo,183,1967.58
maison,74,gaz,9,1,1,1,0,1,velo,182,2062.32
appartement,133,electrique,19,0,0,0,0,2,velo,192,1474.92
maison,39,pompe à chaleur,21,0,0,1,1,6,velo,26,136.76
maison,41,pompe à chaleur,20,0,1,0,0,1,marche,0,630.0
appartement,147,electrique,7,1,0,0,0,2,voiture,134,2353.66
appartement,125,electrique,19,0,1,0,1,1,voiture,63,3253.12
appartement,126,gaz,21,1,0,1,0,6,voiture,127,1361.6466666666665
appartement,53,pompe à chaleur,5,0,0,1,1,3,voiture,108,927.2533333333333
maison,94,electrique,7,1,1,1,1,2,velo,127,1120.52
appartement,48,gaz,18,0,1,0,0,6,marche,0,233.33333333333334
appartement,34,electrique,21,0,0,1,0,1,velo,104,947.04
appartement,81,gaz,25,1,1,0,1,6,velo,66,428.8266666666667
appartement,41,gaz,21,1,0,0,1,6,velo,76,254.76
appartement,36,electrique,10,0,1,0,1,4,velo,143,284.68
appartement,120,pompe à chaleur,5,1,0,1,1,1,marche,0,1455.0
appartement,89,gaz,7,0,0,0,0,2,voiture,155,2114.7
maison,58,gaz,23,1,1,1,0,4,voiture,61,819.39
maison,139,gaz,21,0,0,0,1,6,marche,0,639.1666666666666
appartement,99,gaz,24,0,0,0,0,5,voiture,81,1048.44
maison,140,electrique,10,0,0,1,0,1,velo,170,2974.2
appartement,82,electrique,25,1,1,1,0,3,voiture,11,723.64
appartement,61,pompe à chaleur,16,1,1,0,1,5,marche,0,193.0
appartement,100,gaz,8,1,0,0,1,2,voiture,101,2007.74
maison,33,electrique,22,1,0,1,1,3,velo,171,406.12666666666667
appartement,144,pompe à chaleur,12,0,0,1,0,4,velo,56,412.06
maison,130,gaz,10,0,1,1,0,3,voiture,50,1445.3333333333333
appartement,34,gaz,14,0,1,0,0,5,marche,0,202.0
maison,100,pompe à chaleur,25,0,1,0,1,2,voiture,149,1639.76
maison,88,pompe à chaleur,7,0,0,0,0,5,voiture,192,1388.08
appartement,34,gaz,25,1,0,0,1,6,voiture,14,299.86
appartement,48,pompe à chaleur,5,0,0,0,0,3,voiture,186,1337.3066666666668
appartement,111,electrique,8,0,1,1,0,4,marche,0,587.5
appartement,60,pompe à chaleur,13,0,0,0,1,5,velo,198,227.48
maison,51,electrique,14,0,0,1,0,4,marche,0,297.5
maison,45,electrique,16,0,0,0,0,2,marche,0,530.0
maison,79,pompe à chaleur,17,0,1,0,0,5,marche,0,196.0
appartement,84,electrique,12,1,0,0,0,3,velo,185,656.4333333333334
maison,46,electrique,25,1,0,1,1,2,velo,159,728.84
appartement,87,electrique,16,0,1,1,1,6,marche,0,350.0
maison,91,electrique,14,1,1,1,1,2,velo,88,1115.38
maison,72,gaz,10,0,0,1,0,3,velo,196,694.2933333333334
maison,67,gaz,14,1,0,1,0,4,velo,86,489.86
maison,108,electrique,11,1,1,1,1,1,voiture,175,3587.0
appartement,124,gaz,23,0,0,1,1,3,marche,0,1170.0
maison,41,electrique,17,1,1,1,0,2,voiture,161,1537.1399999999999
appartement,45,electrique,21,1,0,0,1,3,voiture,27,596.8133333333333
maison,65,pompe à chaleur,5,0,1,1,1,6,velo,69,167.94
maison,44,electrique,14,1,1,0,0,2,voiture,172,1605.78
